English Variable,Category,Sub-Category,Measurement,Formatted
Predicted Moisture Load to Dehumidifying Setpoint Moisture Transfer Rate,Predicted,,Moisture Load to Dehumidifying Setpoint Moisture Transfer Rate,Predicted: Moisture Load to Dehumidifying Setpoint Moisture Transfer Rate
Predicted Moisture Load to Humidifying Setpoint Moisture Transfer Rate,Predicted,,Moisture Load to Humidifying Setpoint Moisture Transfer Rate,Predicted: Moisture Load to Humidifying Setpoint Moisture Transfer Rate
Predicted Sensible Load to Cooling Setpoint Heat Transfer Rate,Predicted,,Sensible Load to Cooling Setpoint Heat Transfer Rate,Predicted: Sensible Load to Cooling Setpoint Heat Transfer Rate
Predicted Sensible Load to Heating Setpoint Heat Transfer Rate,Predicted,,Sensible Load to Heating Setpoint Heat Transfer Rate,Predicted: Sensible Load to Heating Setpoint Heat Transfer Rate
Predicted Sensible Load to Setpoint Heat Transfer Rate,Predicted,,Sensible Load to Setpoint Heat Transfer Rate,Predicted: Sensible Load to Setpoint Heat Transfer Rate
Radiant HVAC Electricity Energy,Radiant HVAC,,Electricity Energy,Radiant HVAC: Electricity Energy
Radiant HVAC Electricity Rate,Radiant HVAC,,Electricity Rate,Radiant HVAC: Electricity Rate
Radiant HVAC Heating Energy,Radiant HVAC,,Heating Energy,Radiant HVAC: Heating Energy
Radiant HVAC Heating Rate,Radiant HVAC,,Heating Rate,Radiant HVAC: Heating Rate
Radiant HVAC NaturalGas Energy,Radiant HVAC,,NaturalGas Energy,Radiant HVAC: NaturalGas Energy
Radiant HVAC NaturalGas Rate,Radiant HVAC,,NaturalGas Rate,Radiant HVAC: NaturalGas Rate
Steam Equipment Convective Heating Energy,Steam Equipment,,Convective Heating Energy,Steam Equipment: Convective Heating Energy
Steam Equipment Convective Heating Rate,Steam Equipment,,Convective Heating Rate,Steam Equipment: Convective Heating Rate
Steam Equipment District Heating Energy,Steam Equipment,,District Heating Energy,Steam Equipment: District Heating Energy
Steam Equipment District Heating Rate,Steam Equipment,,District Heating Rate,Steam Equipment: District Heating Rate
Steam Equipment Latent Gain Energy,Steam Equipment,,Latent Gain Energy,Steam Equipment: Latent Gain Energy
Steam Equipment Latent Gain Rate,Steam Equipment,,Latent Gain Rate,Steam Equipment: Latent Gain Rate
Steam Equipment Lost Heat Energy,Steam Equipment,,Lost Heat Energy,Steam Equipment: Lost Heat Energy
Steam Equipment Lost Heat Rate,Steam Equipment,,Lost Heat Rate,Steam Equipment: Lost Heat Rate
Steam Equipment Radiant Heating Energy,Steam Equipment,,Radiant Heating Energy,Steam Equipment: Radiant Heating Energy
Steam Equipment Radiant Heating Rate,Steam Equipment,,Radiant Heating Rate,Steam Equipment: Radiant Heating Rate
Steam Equipment Total Heating Energy,Steam Equipment,,Total Heating Energy,Steam Equipment: Total Heating Energy
Steam Equipment Total Heating Rate,Steam Equipment,,Total Heating Rate,Steam Equipment: Total Heating Rate
Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status,Thermal Comfort,,ASHRAE 55 Adaptive Model 80% Acceptability Status,Thermal Comfort: ASHRAE 55 Adaptive Model 80% Acceptability Status
Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status,Thermal Comfort,,ASHRAE 55 Adaptive Model 90% Acceptability Status,Thermal Comfort: ASHRAE 55 Adaptive Model 90% Acceptability Status
Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature,Thermal Comfort,,ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature,Thermal Comfort: ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature
Thermal Comfort ASHRAE 55 Adaptive Model Temperature,Thermal Comfort,,ASHRAE 55 Adaptive Model Temperature,Thermal Comfort: ASHRAE 55 Adaptive Model Temperature
Thermal Comfort CEN 15251 Adaptive Model Category I Status,Thermal Comfort,,CEN 15251 Adaptive Model Category I Status,Thermal Comfort: CEN 15251 Adaptive Model Category I Status
Thermal Comfort CEN 15251 Adaptive Model Category II Status,Thermal Comfort,,CEN 15251 Adaptive Model Category II Status,Thermal Comfort: CEN 15251 Adaptive Model Category II Status
Thermal Comfort CEN 15251 Adaptive Model Category III Status,Thermal Comfort,,CEN 15251 Adaptive Model Category III Status,Thermal Comfort: CEN 15251 Adaptive Model Category III Status
Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature,Thermal Comfort,,CEN 15251 Adaptive Model Running Average Outdoor Air Temperature,Thermal Comfort: CEN 15251 Adaptive Model Running Average Outdoor Air Temperature
Thermal Comfort CEN 15251 Adaptive Model Temperature,Thermal Comfort,,CEN 15251 Adaptive Model Temperature,Thermal Comfort: CEN 15251 Adaptive Model Temperature
Thermal Comfort Clothing Surface Temperature,Thermal Comfort,,Clothing Surface Temperature,Thermal Comfort: Clothing Surface Temperature
Thermal Comfort Fanger Model PMV,Thermal Comfort,,Fanger Model PMV,Thermal Comfort: Fanger Model PMV
Thermal Comfort Fanger Model PPD,Thermal Comfort,,Fanger Model PPD,Thermal Comfort: Fanger Model PPD
Thermal Comfort KSU Model Thermal Sensation Index,Thermal Comfort,,KSU Model Thermal Sensation Index,Thermal Comfort: KSU Model Thermal Sensation Index
Thermal Comfort Mean Radiant Temperature,Thermal Comfort,,Mean Radiant Temperature,Thermal Comfort: Mean Radiant Temperature
Thermal Comfort Operative Temperature,Thermal Comfort,,Operative Temperature,Thermal Comfort: Operative Temperature
Thermal Comfort Pierce Model Discomfort Index,Thermal Comfort,,Pierce Model Discomfort Index,Thermal Comfort: Pierce Model Discomfort Index
Thermal Comfort Pierce Model Effective Temperature PMV,Thermal Comfort,,Pierce Model Effective Temperature PMV,Thermal Comfort: Pierce Model Effective Temperature PMV
Thermal Comfort Pierce Model Standard Effective Temperature PMV,Thermal Comfort,,Pierce Model Standard Effective Temperature PMV,Thermal Comfort: Pierce Model Standard Effective Temperature PMV
Thermal Comfort Pierce Model Thermal Sensation Index,Thermal Comfort,,Pierce Model Thermal Sensation Index,Thermal Comfort: Pierce Model Thermal Sensation Index
Thermostat Control Type,Thermostat,,Control Type,Thermostat: Control Type
Thermostat Cooling Setpoint Temperature,Thermostat,,Cooling Setpoint Temperature,Thermostat: Cooling Setpoint Temperature
Thermostat Heating Setpoint Temperature,Thermostat,,Heating Setpoint Temperature,Thermostat: Heating Setpoint Temperature
Total Internal Convective Heating Energy,Total Internal,,Convective Heating Energy,Total Internal: Convective Heating Energy
Total Internal Convective Heating Rate,Total Internal,,Convective Heating Rate,Total Internal: Convective Heating Rate
Total Internal Latent Gain Energy,Total Internal,,Latent Gain Energy,Total Internal: Latent Gain Energy
Total Internal Latent Gain Rate,Total Internal,,Latent Gain Rate,Total Internal: Latent Gain Rate
Total Internal Radiant Heating Energy,Total Internal,,Radiant Heating Energy,Total Internal: Radiant Heating Energy
Total Internal Radiant Heating Rate,Total Internal,,Radiant Heating Rate,Total Internal: Radiant Heating Rate
Total Internal Total Heating Energy,Total Internal,,Total Heating Energy,Total Internal: Total Heating Energy
Total Internal Total Heating Rate,Total Internal,,Total Heating Rate,Total Internal: Total Heating Rate
Total Internal Visible Radiation Heating Energy,Total Internal,,Visible Radiation Heating Energy,Total Internal: Visible Radiation Heating Energy
Total Internal Visible Radiation Heating Rate,Total Internal,,Visible Radiation Heating Rate,Total Internal: Visible Radiation Heating Rate
Unit Ventilator Fan Availability Status,Unit Ventilator,,Fan Availability Status,Unit Ventilator: Fan Availability Status
Unit Ventilator Fan Electricity Energy,Unit Ventilator,,Fan Electricity Energy,Unit Ventilator: Fan Electricity Energy
Unit Ventilator Fan Electricity Rate,Unit Ventilator,,Fan Electricity Rate,Unit Ventilator: Fan Electricity Rate
Unit Ventilator Fan Part Load Ratio,Unit Ventilator,,Fan Part Load Ratio,Unit Ventilator: Fan Part Load Ratio
Unit Ventilator Heating Energy,Unit Ventilator,,Heating Energy,Unit Ventilator: Heating Energy
Unit Ventilator Heating Rate,Unit Ventilator,,Heating Rate,Unit Ventilator: Heating Rate
Unit Ventilator Sensible Cooling Energy,Unit Ventilator,,Sensible Cooling Energy,Unit Ventilator: Sensible Cooling Energy
Unit Ventilator Sensible Cooling Rate,Unit Ventilator,,Sensible Cooling Rate,Unit Ventilator: Sensible Cooling Rate
Unit Ventilator Total Cooling Energy,Unit Ventilator,,Total Cooling Energy,Unit Ventilator: Total Cooling Energy
Unit Ventilator Total Cooling Rate,Unit Ventilator,,Total Cooling Rate,Unit Ventilator: Total Cooling Rate
VRF Air Terminal Cooling Electricity Energy,VRF Air Terminal,,Cooling Electricity Energy,VRF Air Terminal: Cooling Electricity Energy
VRF Air Terminal Cooling Electricity Rate,VRF Air Terminal,,Cooling Electricity Rate,VRF Air Terminal: Cooling Electricity Rate
VRF Air Terminal Fan Availability Status,VRF Air Terminal,,Fan Availability Status,VRF Air Terminal: Fan Availability Status
VRF Air Terminal Heating Electricity Energy,VRF Air Terminal,,Heating Electricity Energy,VRF Air Terminal: Heating Electricity Energy
VRF Air Terminal Heating Electricity Rate,VRF Air Terminal,,Heating Electricity Rate,VRF Air Terminal: Heating Electricity Rate
VRF Air Terminal Latent Cooling Energy,VRF Air Terminal,,Latent Cooling Energy,VRF Air Terminal: Latent Cooling Energy
VRF Air Terminal Latent Cooling Rate,VRF Air Terminal,,Latent Cooling Rate,VRF Air Terminal: Latent Cooling Rate
VRF Air Terminal Latent Heating Energy,VRF Air Terminal,,Latent Heating Energy,VRF Air Terminal: Latent Heating Energy
VRF Air Terminal Latent Heating Rate,VRF Air Terminal,,Latent Heating Rate,VRF Air Terminal: Latent Heating Rate
VRF Air Terminal Sensible Cooling Energy,VRF Air Terminal,,Sensible Cooling Energy,VRF Air Terminal: Sensible Cooling Energy
VRF Air Terminal Sensible Cooling Rate,VRF Air Terminal,,Sensible Cooling Rate,VRF Air Terminal: Sensible Cooling Rate
VRF Air Terminal Sensible Heating Energy,VRF Air Terminal,,Sensible Heating Energy,VRF Air Terminal: Sensible Heating Energy
VRF Air Terminal Sensible Heating Rate,VRF Air Terminal,,Sensible Heating Rate,VRF Air Terminal: Sensible Heating Rate
VRF Air Terminal Total Cooling Energy,VRF Air Terminal,,Total Cooling Energy,VRF Air Terminal: Total Cooling Energy
VRF Air Terminal Total Cooling Rate,VRF Air Terminal,,Total Cooling Rate,VRF Air Terminal: Total Cooling Rate
VRF Air Terminal Total Heating Energy,VRF Air Terminal,,Total Heating Energy,VRF Air Terminal: Total Heating Energy
VRF Air Terminal Total Heating Rate,VRF Air Terminal,,Total Heating Rate,VRF Air Terminal: Total Heating Rate
Ventilation Air Inlet Temperature,Ventilation,,Air Inlet Temperature,Ventilation: Air Inlet Temperature
Ventilation Current Density Air Change Rate,Ventilation,,Current Density Air Change Rate,Ventilation: Current Density Air Change Rate
Ventilation Current Density Volume,Ventilation,,Current Density Volume,Ventilation: Current Density Volume
Ventilation Current Density Volume Flow Rate,Ventilation,,Current Density Volume Flow Rate,Ventilation: Current Density Volume Flow Rate
Ventilation Fan Electricity Energy,Ventilation,,Fan Electricity Energy,Ventilation: Fan Electricity Energy
Ventilation Latent Heat Gain Energy,Ventilation,,Latent Heat Gain Energy,Ventilation: Latent Heat Gain Energy
Ventilation Latent Heat Loss Energy,Ventilation,,Latent Heat Loss Energy,Ventilation: Latent Heat Loss Energy
Ventilation Mass,Ventilation,,Mass,Ventilation: Mass
Ventilation Mass Flow Rate,Ventilation,,Mass Flow Rate,Ventilation: Mass Flow Rate
Ventilation Outdoor Density Air Change Rate,Ventilation,,Outdoor Density Air Change Rate,Ventilation: Outdoor Density Air Change Rate
Ventilation Outdoor Density Volume Flow Rate,Ventilation,,Outdoor Density Volume Flow Rate,Ventilation: Outdoor Density Volume Flow Rate
Ventilation Sensible Heat Gain Energy,Ventilation,,Sensible Heat Gain Energy,Ventilation: Sensible Heat Gain Energy
Ventilation Sensible Heat Loss Energy,Ventilation,,Sensible Heat Loss Energy,Ventilation: Sensible Heat Loss Energy
Ventilation Standard Density Air Change Rate,Ventilation,,Standard Density Air Change Rate,Ventilation: Standard Density Air Change Rate
Ventilation Standard Density Volume,Ventilation,,Standard Density Volume,Ventilation: Standard Density Volume
Ventilation Standard Density Volume Flow Rate,Ventilation,,Standard Density Volume Flow Rate,Ventilation: Standard Density Volume Flow Rate
Ventilation Total Heat Gain Energy,Ventilation,,Total Heat Gain Energy,Ventilation: Total Heat Gain Energy
Ventilation Total Heat Loss Energy,Ventilation,,Total Heat Loss Energy,Ventilation: Total Heat Loss Energy
Ventilator Electricity Energy,Ventilator,,Electricity Energy,Ventilator: Electricity Energy
Ventilator Electricity Rate,Ventilator,,Electricity Rate,Ventilator: Electricity Rate
Ventilator Latent Cooling Energy,Ventilator,,Latent Cooling Energy,Ventilator: Latent Cooling Energy
Ventilator Latent Cooling Rate,Ventilator,,Latent Cooling Rate,Ventilator: Latent Cooling Rate
Ventilator Latent Heating Energy,Ventilator,,Latent Heating Energy,Ventilator: Latent Heating Energy
Ventilator Latent Heating Rate,Ventilator,,Latent Heating Rate,Ventilator: Latent Heating Rate
Ventilator Sensible Cooling Energy,Ventilator,,Sensible Cooling Energy,Ventilator: Sensible Cooling Energy
Ventilator Sensible Cooling Rate,Ventilator,,Sensible Cooling Rate,Ventilator: Sensible Cooling Rate
Ventilator Sensible Heating Energy,Ventilator,,Sensible Heating Energy,Ventilator: Sensible Heating Energy
Ventilator Sensible Heating Rate,Ventilator,,Sensible Heating Rate,Ventilator: Sensible Heating Rate
Ventilator Supply Fan Availability Status,Ventilator,,Supply Fan Availability Status,Ventilator: Supply Fan Availability Status
Ventilator Total Cooling Energy,Ventilator,,Total Cooling Energy,Ventilator: Total Cooling Energy
Ventilator Total Cooling Rate,Ventilator,,Total Cooling Rate,Ventilator: Total Cooling Rate
Ventilator Total Heating Energy,Ventilator,,Total Heating Energy,Ventilator: Total Heating Energy
Ventilator Total Heating Rate,Ventilator,,Total Heating Rate,Ventilator: Total Heating Rate
Windows Total Heat Gain Energy,Windows,,Total Heat Gain Energy,Windows: Total Heat Gain Energy
Windows Total Heat Gain Rate,Windows,,Total Heat Gain Rate,Windows: Total Heat Gain Rate
Windows Total Heat Loss Energy,Windows,,Total Heat Loss Energy,Windows: Total Heat Loss Energy
Windows Total Heat Loss Rate,Windows,,Total Heat Loss Rate,Windows: Total Heat Loss Rate
Windows Total Transmitted Solar Radiation Energy,Windows,,Total Transmitted Solar Radiation Energy,Windows: Total Transmitted Solar Radiation Energy
Windows Total Transmitted Solar Radiation Rate,Windows,,Total Transmitted Solar Radiation Rate,Windows: Total Transmitted Solar Radiation Rate
Site Diffuse Solar Radiation Rate per Area,Site,,Diffuse Solar Radiation Rate per Area,Site: Diffuse Solar Radiation Rate per Area
Site Direct Solar Radiation Rate per Area,Site,,Direct Solar Radiation Rate per Area,Site: Direct Solar Radiation Rate per Area
Site Exterior Beam Normal Illuminance,Site Exterior,,Beam Normal Illuminance,Site Exterior: Beam Normal Illuminance
Site Exterior Horizontal Beam Illuminance,Site Exterior,,Horizontal Beam Illuminance,Site Exterior: Horizontal Beam Illuminance
Site Exterior Horizontal Sky Illuminance,Site Exterior,,Horizontal Sky Illuminance,Site Exterior: Horizontal Sky Illuminance
Site Outdoor Air Drybulb Temperature,Site,,Outdoor Air Drybulb Temperature,Site: Outdoor Air Drybulb Temperature
Site Outdoor Air Wetbulb Temperature,Site,,Outdoor Air Wetbulb Temperature,Site: Outdoor Air Wetbulb Temperature
Site Sky Diffuse Solar Radiation Luminous Efficacy,Site,,Sky Diffuse Solar Radiation Luminous Efficacy,Site: Sky Diffuse Solar Radiation Luminous Efficacy
Surface Inside Face Temperature,Surface,,Inside Face Temperature,Surface: Inside Face Temperature
Surface Outside Face Temperature,Surface,,Outside Face Temperature,Surface: Outside Face Temperature
Cooling Coil Stage 2 Runtime Fraction,Cooling Coil,,Stage 2 Runtime Fraction,Cooling Coil: Stage 2 Runtime Fraction
People Air Temperature,People,,Air Temperature,People: Air Temperature
Daylighting Window Reference Point 1 Illuminance,Daylighting,,Window Reference Point 1 Illuminance,Daylighting: Window Reference Point 1 Illuminance
Daylighting Window Reference Point 2 Illuminance,Daylighting,,Window Reference Point 2 Illuminance,Daylighting: Window Reference Point 2 Illuminance
Daylighting Window Reference Point 1 View Luminance,Daylighting,,Window Reference Point 1 View Luminance,Daylighting: Window Reference Point 1 View Luminance
Daylighting Window Reference Point 2 View Luminance,Daylighting,,Window Reference Point 2 View Luminance,Daylighting: Window Reference Point 2 View Luminance
Cooling Coil Dehumidification Mode,Cooling Coil,,Dehumidification Mode,Cooling Coil: Dehumidification Mode
Lights Radiant Heat Gain,Lights,,Radiant Heat Gain,Lights: Radiant Heat Gain
